Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
controllerCsv,100,12177,11942,17526,19149,31761,4333,32662,"0,000%","2,97424","4933,18","0,37"
controllerMongo,100,28010,28548,38478,39627,40844,13711,41045,"0,000%","2,21926","6639,86","0,28"
Total,200,20093,17526,34633,38478,40518,4333,41045,"0,000%","4,04744","9411,41","0,51"
