Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
controllerMongo,100,30004,30526,33444,33713,34033,21780,34105,"0,000%","2,90183","8682,05","0,37"
Total,100,30004,30526,33444,33713,34033,21780,34105,"0,000%","2,90183","8682,05","0,37"
